t,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7
7.570,51.802,51.715,181.181,51.755,51.837,51.866,51.787,50.972,52.273,51.516,51.718,210.737,51.886,51.734
7.575,51.909,51.872,181.090,51.487,51.727,51.782,51.772,51.725,52.004,51.630,51.807,210.737,51.993,51.820
7.580,53.166,52.852,181.194,53.082,53.548,0.000,53.178,52.845,52.468,53.219,52.956,127.610,53.280,53.101
7.585,53.023,52.992,181.273,53.084,52.881,53.223,53.275,53.477,53.016,53.034,53.295,127.610,53.243,53.336
7.590,53.026,52.978,181.358,52.984,53.469,53.094,53.333,53.603,53.050,53.040,52.922,127.610,53.682,53.720
7.595,53.084,52.746,181.079,53.320,53.047,53.241,53.689,53.301,53.934,53.192,53.431,127.610,53.599,53.079
7.600,54.575,54.936,181.175,54.845,54.166,55.182,54.510,54.415,54.976,54.924,55.126,202.873,54.959,54.668
7.605,54.755,54.401,181.222,54.598,55.193,54.674,55.065,54.368,54.482,54.682,55.428,202.873,54.556,54.480
7.610,55.518,54.291,181.160,54.493,54.973,54.319,54.408,54.675,54.875,54.373,54.873,202.873,54.956,54.376
7.615,55.061,54.415,181.197,54.870,54.704,54.699,54.707,54.762,55.235,54.551,54.012,202.873,54.783,54.738
7.620,56.285,56.682,181.150,55.851,56.296,56.329,55.791,56.112,56.736,56.334,56.395,133.005,56.187,56.252
7.625,56.450,56.616,181.181,56.237,55.954,56.097,55.943,56.792,56.502,56.041,56.018,133.005,56.553,56.134
7.630,56.448,56.324,181.227,55.907,56.050,56.438,56.043,56.944,56.443,56.632,56.986,133.005,56.493,55.978
7.635,56.647,56.440,181.114,56.172,56.810,56.709,55.726,56.413,56.332,56.241,56.696,133.005,56.148,55.677
7.640,58.269,57.284,181.146,58.215,57.331,58.068,58.371,57.861,58.276,58.010,57.550,312.629,57.446,57.943
7.645,57.572,57.556,181.136,57.735,57.985,57.451,57.993,57.920,57.627,58.304,58.175,312.629,58.561,57.277
7.650,58.507,57.907,181.251,57.910,57.507,58.064,57.692,58.271,57.990,57.779,58.288,312.629,58.012,57.864
7.655,57.605,57.513,181.380,57.971,57.738,57.898,57.371,57.782,58.202,57.626,57.604,312.629,57.223,57.656
7.660,59.490,59.009,181.178,59.773,59.550,59.852,59.051,59.675,59.443,59.150,59.308,346.720,59.666,59.259
7.665,59.221,59.208,181.228,59.250,59.788,59.386,59.437,58.931,59.902,59.670,59.396,346.720,59.743,59.282
7.670,58.967,59.650,181.184,59.464,59.352,59.509,58.961,59.618,59.426,59.252,59.486,346.720,59.801,59.019
7.675,58.942,59.854,181.205,59.030,59.034,59.463,59.739,59.417,59.327,59.822,59.494,346.720,59.903,59.378
7.680,61.680,60.759,181.174,61.255,61.331,61.415,60.879,61.118,61.172,60.865,60.840,38.805,61.681,60.708
7.685,61.538,61.458,181.251,61.146,60.867,61.053,61.126,61.092,60.959,61.134,60.889,38.805,61.408,61.064
7.690,60.815,60.691,181.144,61.103,61.423,61.149,61.186,60.502,60.950,61.022,61.657,38.805,61.193,60.732
7.695,60.777,61.095,181.248,61.028,60.807,61.133,60.557,61.187,60.508,61.023,60.932,38.805,60.948,61.069
7.700,63.206,62.712,181.257,62.410,62.642,62.830,62.694,62.422,62.589,62.674,62.550,249.543,63.144,63.202
7.705,62.489,62.618,181.118,63.317,63.083,62.863,62.826,62.941,63.355,62.763,63.136,249.543,62.583,63.161
7.710,62.905,63.225,181.189,62.399,62.758,62.275,62.672,62.712,63.229,62.985,62.763,249.543,62.929,62.649
7.715,63.367,62.961,181.129,62.619,61.931,62.596,62.741,62.592,62.836,62.809,62.579,249.543,62.694,62.138
7.720,64.687,64.436,181.266,64.297,64.774,64.185,64.703,64.411,64.280,64.138,64.385,27.206,64.572,63.689
7.725,64.901,64.731,181.259,64.529,64.590,64.193,64.256,64.626,64.670,64.707,64.759,27.206,64.422,64.570
7.730,64.529,64.225,181.212,63.825,64.390,64.506,64.308,63.842,65.009,64.300,65.088,27.206,64.459,64.523
7.735,63.966,64.547,181.219,65.039,63.956,64.425,64.904,63.817,64.142,64.518,63.989,27.206,64.180,64.567
7.740,65.943,66.564,181.117,65.952,65.832,65.809,66.071,65.557,66.733,66.268,65.797,63.516,66.450,66.183
7.745,65.658,66.266,181.244,66.091,66.168,66.589,66.411,66.328,66.031,66.727,66.053,63.516,65.891,66.672
7.750,66.275,66.715,181.275,66.085,66.039,0.000,66.491,66.268,66.608,66.741,66.478,63.516,66.413,66.632
7.755,65.795,65.831,181.266,66.040,65.587,66.105,65.616,66.035,66.213,66.346,65.663,63.516,66.479,66.462
7.760,67.958,67.529,181.159,68.389,67.823,67.727,67.830,68.547,67.867,67.492,68.106,309.145,68.198,68.400
7.765,67.774,67.807,181.065,68.579,67.999,68.153,68.154,68.066,68.055,67.477,68.377,309.145,68.340,68.565
7.770,67.715,67.827,181.222,68.269,68.188,68.006,67.895,67.823,68.010,67.803,67.403,309.145,67.201,67.539
7.775,68.070,67.738,181.218,67.177,67.851,67.684,68.141,68.010,67.823,68.025,67.947,309.145,67.806,67.860
7.780,69.543,70.071,181.174,69.781,69.265,70.079,69.210,69.765,69.003,69.255,69.710,135.902,69.557,70.221
7.785,69.437,69.759,181.293,69.941,69.552,69.517,69.694,69.174,68.975,69.848,68.957,135.902,69.306,70.151
7.790,69.974,69.366,181.239,69.400,69.223,69.541,70.025,69.931,69.155,70.135,69.810,135.902,69.599,69.553
7.795,69.669,69.455,181.349,70.127,69.781,69.883,69.941,69.368,69.855,69.214,69.555,135.902,69.411,69.885
7.800,71.029,71.566,181.307,71.681,71.836,71.787,71.399,71.577,71.569,71.461,71.227,180.891,71.169,71.164
7.805,71.812,71.077,181.200,71.101,71.292,71.384,71.532,71.435,71.179,71.870,72.086,180.891,71.347,71.384
7.810,71.047,71.547,181.222,71.282,70.935,71.138,71.178,71.864,71.746,71.280,71.426,180.891,71.666,71.154
7.815,71.530,71.137,181.166,71.326,71.519,71.337,70.742,71.807,71.500,71.201,71.400,180.891,71.479,71.757
7.820,73.418,73.223,181.218,72.814,73.169,73.702,73.425,72.619,72.717,73.194,73.469,180.783,73.260,73.013
7.825,73.185,73.310,181.134,72.868,73.366,73.333,73.107,72.942,73.511,73.415,73.186,180.783,73.367,73.009
7.830,73.019,72.808,181.247,73.544,72.864,73.237,73.547,73.800,73.502,73.330,73.329,180.783,74.030,73.349
7.835,73.166,73.102,181.183,73.855,73.217,73.290,73.852,73.605,73.101,73.139,73.399,180.783,73.491,73.255
7.840,74.977,74.938,181.219,75.461,74.819,75.390,74.595,74.854,74.941,74.950,75.540,134.435,74.796,75.325
7.845,74.755,75.089,181.307,75.335,74.776,75.409,75.121,75.021,74.951,75.123,74.867,134.435,74.885,75.863
7.850,75.331,75.271,181.190,75.745,75.306,74.532,75.178,75.243,74.940,75.437,75.741,134.435,75.235,75.330
7.855,74.902,75.030,181.319,75.632,75.105,74.936,74.900,75.214,75.003,74.984,75.648,134.435,75.245,75.091
7.860,76.698,76.485,181.199,77.050,77.261,77.388,77.127,76.741,77.192,77.500,76.934,66.698,77.387,76.801
7.865,77.316,76.763,181.245,76.878,76.739,76.765,76.740,76.808,76.287,76.999,77.057,66.698,76.718,77.104
7.870,76.694,76.621,181.141,77.208,76.900,77.309,76.805,77.093,76.951,76.776,76.790,66.698,76.264,77.107
7.875,76.460,76.823,181.135,76.366,77.047,77.201,76.926,76.873,77.049,76.823,76.800,66.698,76.844,77.226
7.880,78.737,79.015,181.151,78.452,78.956,78.948,79.323,77.893,78.524,78.901,78.596,211.248,78.310,78.764
7.885,78.759,78.995,181.218,78.582,78.632,78.929,78.692,78.518,78.925,78.055,78.483,211.248,78.875,79.039
7.890,78.766,79.069,181.167,78.673,79.189,78.566,79.148,78.714,78.152,79.085,79.178,211.248,78.675,79.109
7.895,79.371,78.491,181.262,79.448,78.418,78.717,79.451,79.281,78.714,78.701,78.671,211.248,78.225,78.546
7.900,80.448,80.093,181.139,80.627,81.174,0.000,80.953,80.922,80.256,80.672,81.093,23.952,80.415,80.671
7.905,81.011,80.310,181.252,80.265,81.300,80.405,80.235,80.560,80.361,80.905,80.467,23.952,80.705,80.379
7.910,80.875,80.582,181.169,80.645,81.052,81.002,80.649,81.169,80.348,80.431,80.979,23.952,80.607,80.802
7.915,81.044,80.414,181.218,80.170,80.576,80.736,80.739,80.148,80.815,80.398,80.538,23.952,80.431,80.625
7.920,82.453,82.105,181.206,82.709,82.162,82.568,82.710,82.601,82.507,82.459,82.308,176.765,82.912,82.261
7.925,82.389,82.435,181.186,83.288,82.103,82.235,82.462,82.580,82.646,82.958,82.413,176.765,82.185,82.409
7.930,82.424,82.815,181.232,82.929,82.940,82.457,82.196,82.617,82.180,83.103,82.510,176.765,82.504,81.759
7.935,82.576,82.365,181.210,82.948,82.755,82.672,82.437,82.924,83.019,82.632,82.154,176.765,82.320,82.266
7.940,84.642,84.448,181.100,84.273,84.575,84.120,84.694,84.579,84.815,84.369,84.657,318.105,84.430,84.148
7.945,84.847,84.937,181.247,84.239,84.155,84.637,84.680,84.422,84.761,84.414,84.479,318.105,84.638,84.410
7.950,83.837,84.168,181.187,84.573,84.729,84.644,84.687,83.958,84.604,84.380,83.755,318.105,83.927,84.493
7.955,84.676,84.570,181.226,84.164,85.180,84.186,84.519,84.226,84.189,84.426,84.261,318.105,84.785,84.187
7.960,86.350,85.785,181.187,85.699,85.640,86.303,86.699,86.646,86.249,86.291,86.222,334.302,86.311,86.188
7.965,86.254,85.967,181.218,86.473,86.248,85.968,86.486,86.439,86.224,86.022,86.229,334.302,85.699,86.723
7.970,85.934,86.165,181.210,86.089,86.049,86.154,86.512,86.115,86.484,85.318,86.186,334.302,85.924,86.517
7.975,86.342,86.536,181.198,85.833,86.046,85.356,86.226,85.492,86.089,86.286,86.600,334.302,86.160,86.778
7.980,87.587,88.142,181.205,88.004,88.212,88.225,88.694,87.565,88.085,87.717,88.414,34.695,88.530,87.955
7.985,88.492,87.958,181.213,88.421,88.385,87.985,88.272,88.514,87.610,87.812,88.408,34.695,88.004,87.924
7.990,87.849,88.291,181.247,88.050,88.381,88.394,88.250,87.973,88.516,88.269,87.842,34.695,87.392,88.411
7.995,88.089,88.548,181.173,88.005,87.977,88.004,87.703,88.009,87.769,88.668,88.064,34.695,88.207,87.981
8.000,89.960,90.421,181.206,89.741,90.522,89.468,89.547,89.633,90.450,90.292,89.996,275.673,89.895,89.684
8.005,90.179,89.738,181.181,89.634,89.955,90.380,89.757,89.890,90.090,89.804,90.235,275.673,89.777,90.036
8.010,89.615,90.176,181.194,90.249,89.978,90.346,90.028,89.684,90.115,90.092,89.851,275.673,89.682,89.756
8.015,90.255,89.826,181.261,89.995,90.334,90.075,89.776,89.834,90.087,89.829,90.113,275.673,89.727,90.149
8.020,92.016,92.085,181.189,91.951,91.713,92.222,91.542,91.922,91.310,92.139,91.573,52.976,91.551,92.101
8.025,92.353,92.199,181.217,91.883,91.924,0.000,91.929,92.622,91.869,92.038,92.182,52.976,91.711,91.707
8.030,91.983,91.548,181.214,91.828,91.501,92.175,92.048,91.710,92.252,92.496,91.468,52.976,91.848,91.953
8.035,91.856,92.509,181.253,91.563,91.841,91.651,91.046,91.600,91.979,92.366,91.668,52.976,92.215,92.293
8.040,93.217,93.200,181.200,93.603,94.372,93.558,92.862,93.816,93.751,93.967,93.762,132.030,93.420,93.521
8.045,93.667,93.808,181.192,93.948,94.200,94.386,93.983,93.098,93.792,94.462,94.024,132.030,93.887,93.593
8.050,94.264,93.243,181.162,93.869,93.759,93.555,94.079,94.023,93.898,93.477,93.576,132.030,94.092,93.664
8.055,93.641,93.609,181.265,93.865,93.605,93.578,93.728,93.463,93.534,93.653,93.352,132.030,93.242,93.959
8.060,95.509,96.097,181.204,95.865,95.701,96.145,95.187,95.918,95.687,95.533,96.196,30.060,95.486,95.406
8.065,95.613,96.026,181.147,96.406,95.915,95.003,95.523,95.637,95.711,95.354,95.712,30.060,95.478,96.092
8.070,95.908,96.202,181.229,95.479,96.730,95.845,95.737,95.963,95.720,95.184,94.982,30.060,95.823,95.928
8.075,95.133,95.545,181.243,95.947,95.296,96.073,95.638,95.637,95.406,95.764,95.534,30.060,95.511,95.513
8.080,98.064,97.227,181.246,97.010,97.607,97.210,97.821,97.746,97.362,97.332,97.669,242.944,96.944,97.721
8.085,97.704,97.227,181.254,97.660,97.584,97.231,97.492,97.312,97.431,97.155,97.344,242.944,97.795,97.786
8.090,97.742,98.377,181.169,97.439,97.096,97.644,97.975,97.266,96.871,97.888,98.432,242.944,97.923,97.864
8.095,97.526,97.814,181.129,97.271,97.594,97.681,97.154,97.994,97.360,96.913,97.863,242.944,97.333,97.225
8.100,99.978,99.098,181.168,99.379,99.394,98.843,99.040,99.735,99.331,99.177,99.850,305.113,99.366,99.430
8.105,99.266,99.385,181.225,99.287,99.498,99.356,99.257,99.316,99.143,99.146,98.891,305.113,99.711,99.865
8.110,99.637,99.356,181.205,98.821,99.402,99.274,99.734,99.926,99.547,99.268,99.298,305.113,99.029,99.439
8.115,99.426,99.664,181.158,99.387,98.952,98.967,98.888,99.061,99.152,99.809,98.927,305.113,99.342,99.468
8.120,100.879,101.060,181.261,101.184,101.220,101.517,100.885,101.086,101.265,101.743,101.472,227.009,101.205,101.462
8.125,101.212,100.717,181.187,101.477,101.563,100.798,101.357,100.831,101.241,101.230,101.312,227.009,100.832,101.607
8.130,101.464,101.009,181.212,101.385,101.320,101.481,101.311,101.350,101.336,101.190,101.176,227.009,101.424,100.924
8.135,101.170,101.400,181.254,101.604,101.867,101.096,101.061,101.476,101.123,101.370,101.211,227.009,101.355,100.729
8.140,102.978,103.105,181.219,102.921,102.834,102.876,103.009,102.969,103.271,103.251,103.480,17.026,103.368,102.772
8.145,103.093,102.914,181.223,103.691,103.306,103.122,103.490,102.976,103.424,103.326,102.698,17.026,103.253,102.926
8.150,102.841,102.704,181.180,103.259,102.993,102.559,102.648,103.075,103.503,103.063,102.638,17.026,102.899,103.007
8.155,102.770,103.441,181.182,103.208,103.447,103.299,103.017,103.018,102.961,103.272,102.699,17.026,102.759,103.011
8.160,104.952,105.095,181.290,104.939,104.844,104.513,104.864,105.014,105.148,104.751,104.900,234.256,105.138,104.416
8.165,104.653,104.658,181.150,104.803,105.310,105.184,104.729,104.772,104.439,104.898,105.139,234.256,104.415,104.763
8.170,105.100,104.750,181.239,105.122,105.049,105.071,104.816,105.047,104.696,105.355,104.968,234.256,104.877,104.816
8.175,105.142,105.459,181.194,105.209,105.155,104.410,104.848,105.164,105.211,104.689,105.102,234.256,104.262,104.636
8.180,107.131,106.647,181.182,107.287,106.146,106.745,106.974,106.592,106.422,107.006,106.740,311.293,106.491,107.221
8.185,107.038,107.131,181.159,107.014,106.846,106.553,107.025,106.954,106.804,106.484,106.741,311.293,106.104,106.578
8.190,106.667,106.689,181.249,106.772,106.819,107.000,107.080,106.673,106.650,107.008,106.300,311.293,106.179,107.111
8.195,106.873,106.689,181.188,106.822,106.761,106.480,107.312,106.517,107.195,106.354,107.034,311.293,107.096,107.100
8.200,108.211,108.398,181.174,108.508,108.482,108.657,108.621,108.666,108.982,108.575,108.667,87.327,108.582,108.436
8.205,108.678,108.715,181.157,108.458,108.813,108.733,108.186,108.992,108.119,108.737,108.229,87.327,108.661,108.230
8.210,108.404,108.682,181.216,108.607,108.089,108.463,108.140,108.278,109.074,108.325,108.159,87.327,108.163,108.741
8.215,108.952,108.278,181.192,109.194,108.342,107.890,108.626,108.423,108.534,108.797,108.474,87.327,108.702,109.004
8.220,110.127,110.835,181.245,110.007,110.534,110.344,110.475,109.850,110.062,110.555,110.459,84.910,110.298,110.331
8.225,110.385,110.202,181.251,110.244,110.587,110.423,110.509,110.352,110.075,110.548,110.275,84.910,110.253,110.453
8.230,110.107,110.160,181.238,110.273,110.602,110.401,110.200,109.963,110.361,110.852,109.980,84.910,110.665,110.829
8.235,110.518,110.672,181.224,109.951,109.930,110.135,110.431,110.508,109.373,110.747,110.692,84.910,110.537,110.445
8.240,112.285,111.863,181.175,112.553,111.866,111.998,112.541,112.286,111.707,112.257,112.438,343.896,112.135,112.038
8.245,111.800,112.029,181.282,111.830,112.133,111.831,112.174,112.241,111.707,112.070,111.843,343.896,112.243,111.710
8.250,112.677,112.165,181.224,112.400,111.933,111.443,111.825,112.110,112.373,111.623,112.053,343.896,111.809,112.070
8.255,112.243,112.359,181.071,112.717,111.674,0.000,112.044,112.165,112.391,112.198,112.198,343.896,112.169,112.375
8.260,113.417,113.349,181.174,113.703,113.847,113.835,114.015,113.650,113.452,114.073,113.784,9.102,113.883,113.931
8.265,113.570,113.545,181.195,113.916,113.741,0.000,113.690,113.667,113.825,113.828,113.815,9.102,113.535,114.496
8.270,113.297,113.112,181.155,113.418,113.853,114.194,114.254,113.616,114.033,113.835,113.936,9.102,113.470,113.370
8.275,113.244,113.986,181.126,113.862,114.147,113.840,113.773,114.095,114.060,113.429,114.184,9.102,113.741,113.875
8.280,115.513,115.622,181.187,115.232,115.269,115.759,115.558,115.449,115.450,115.678,115.511,186.986,115.997,115.569
8.285,114.938,115.711,181.249,115.692,115.345,115.416,115.635,115.083,115.496,115.341,115.516,186.986,115.345,115.921
8.290,115.667,115.628,181.186,115.093,115.348,115.890,116.004,115.485,115.672,114.988,115.337,186.986,115.727,115.464
8.295,115.071,115.348,181.230,115.391,115.766,115.417,115.167,115.748,115.584,115.595,115.441,186.986,115.706,115.876
8.300,117.134,117.405,181.164,117.019,117.228,116.902,116.950,117.667,117.644,117.031,116.880,70.113,117.661,116.859
8.305,117.754,116.914,181.291,117.218,117.211,117.316,116.867,117.001,117.345,116.426,117.295,70.113,117.994,117.547
8.310,117.140,116.950,181.199,117.503,117.015,116.921,116.874,116.944,117.679,117.090,117.038,70.113,117.074,116.967
8.315,117.236,117.128,181.276,117.486,116.846,117.733,117.392,117.578,117.487,116.603,117.045,70.113,117.445,116.630
8.320,119.279,119.191,181.167,118.738,119.239,118.786,118.863,119.164,118.413,118.735,118.835,270.936,118.088,119.127
8.325,118.818,118.506,181.258,119.268,119.024,119.230,118.843,119.202,118.962,118.867,118.612,270.936,118.761,119.227
8.330,119.070,119.777,181.244,119.015,119.390,119.150,118.983,119.252,119.230,118.888,118.509,270.936,118.945,118.910
8.335,118.671,118.673,181.187,119.111,118.661,118.768,119.101,119.405,119.405,119.227,119.276,270.936,118.855,118.792
8.340,120.436,120.063,181.233,120.770,120.316,120.258,120.498,120.634,120.395,120.905,119.777,19.328,121.154,120.663
8.345,120.587,120.572,181.073,121.065,120.770,120.589,120.449,120.187,120.630,120.921,120.382,19.328,120.310,120.664
8.350,120.551,120.269,181.191,120.454,120.341,120.314,120.482,120.065,120.410,120.333,120.351,19.328,120.720,120.388
8.355,120.321,120.723,181.237,120.015,120.616,0.000,120.228,119.995,120.598,120.228,120.490,19.328,121.189,120.893
8.360,122.221,122.389,181.235,122.254,121.869,0.000,121.749,122.132,122.645,122.528,122.045,165.772,122.434,122.366
8.365,122.333,121.831,181.173,121.912,121.863,122.841,122.287,122.617,122.474,122.040,122.672,165.772,122.017,121.580
8.370,122.344,122.280,181.183,121.802,122.332,122.281,122.086,122.203,121.924,122.188,121.842,165.772,121.899,122.140
8.375,122.166,121.965,181.260,121.807,122.044,121.551,122.217,122.180,121.945,122.112,122.228,165.772,121.964,121.926
8.380,123.449,123.784,181.132,124.091,123.915,123.491,123.371,124.362,123.247,123.531,123.354,42.960,124.054,123.915
8.385,123.932,123.558,181.114,123.864,124.067,124.121,123.754,123.539,123.908,124.030,123.675,42.960,123.651,123.604
8.390,123.982,123.665,181.193,123.221,123.747,123.419,123.647,123.760,123.729,123.441,124.086,42.960,123.644,123.627
8.395,123.437,123.802,181.186,123.338,122.995,123.597,123.596,124.003,123.934,123.313,123.823,42.960,123.992,123.537
8.400,124.588,125.673,181.289,124.875,124.511,124.917,126.009,125.445,124.837,125.776,125.494,229.829,124.895,125.497
8.405,125.214,125.123,181.246,125.188,125.382,125.120,124.827,126.048,125.278,124.913,125.222,229.829,125.628,125.572
8.410,125.571,125.475,181.221,125.600,125.310,125.288,125.433,125.252,125.838,125.612,125.447,229.829,124.779,124.680
8.415,125.527,125.708,181.093,125.110,125.269,125.428,125.247,125.087,125.100,125.560,124.832,229.829,124.838,124.887
8.420,126.426,126.515,181.164,127.033,126.959,126.465,127.370,127.152,127.238,126.216,126.578,17.204,126.895,126.975
8.425,127.168,127.079,181.226,126.898,126.578,0.000,127.149,126.755,126.247,127.282,126.651,17.204,126.471,126.784
8.430,126.510,126.663,181.178,126.833,126.694,126.311,126.938,126.600,126.416,126.763,127.136,17.204,126.850,127.189
8.435,127.048,126.858,181.241,127.047,126.169,126.871,126.769,127.036,126.405,126.701,127.043,17.204,127.214,126.854
8.440,128.119,128.365,181.169,128.117,128.776,128.279,127.841,128.449,128.948,128.283,128.283,185.729,129.152,128.323
8.445,128.532,128.149,181.134,127.966,128.374,128.308,127.672,128.651,127.845,128.248,128.306,185.729,128.208,128.761
8.450,128.393,128.668,181.227,127.985,128.691,128.458,128.092,128.222,127.703,128.169,128.256,185.729,128.251,128.346
8.455,128.176,128.603,181.181,128.266,128.380,128.097,128.661,128.431,128.761,128.592,128.414,185.729,128.304,128.754
8.460,129.887,129.703,181.268,129.783,129.516,129.933,129.648,130.177,129.779,129.647,129.934,58.638,130.047,129.606
8.465,129.480,129.651,181.191,129.282,130.186,130.016,129.787,130.378,129.925,129.855,129.368,58.638,129.599,129.561
8.470,129.563,129.682,181.213,129.410,129.422,129.677,129.580,129.578,129.179,129.891,129.365,58.638,129.916,129.643
8.475,129.581,129.828,181.146,129.287,129.874,129.618,129.150,129.511,129.873,129.655,129.857,58.638,129.846,129.777
8.480,130.815,131.219,181.221,131.147,131.079,131.183,130.653,130.305,130.655,130.992,131.310,262.344,131.071,131.310
8.485,131.344,130.647,181.217,131.306,131.002,130.975,130.218,130.860,130.683,131.255,131.557,262.344,130.690,130.370
8.490,131.345,131.259,181.212,130.622,130.746,131.181,131.342,131.566,130.610,130.899,131.148,262.344,131.565,131.135
8.495,131.068,131.204,181.162,131.475,130.762,131.259,131.300,131.091,131.063,131.078,131.095,262.344,130.947,131.011
8.500,132.134,132.306,181.275,132.261,132.459,132.850,132.478,132.317,132.063,132.504,132.725,184.655,132.181,132.062
8.505,132.558,132.183,181.224,132.395,132.850,132.912,132.265,131.725,132.112,132.382,132.445,184.655,132.279,131.957
8.510,132.504,131.909,181.264,132.305,132.752,132.218,132.575,132.536,132.198,133.099,132.338,184.655,132.712,132.630
8.515,132.607,132.506,181.134,132.555,132.260,132.740,132.389,132.504,132.256,132.216,132.274,184.655,132.120,132.557
8.520,133.728,133.522,181.188,133.660,133.207,133.970,134.267,133.768,133.503,133.597,133.437,226.242,134.311,133.549
8.525,133.664,133.593,181.200,133.688,134.072,133.404,133.579,133.999,133.737,134.149,133.935,226.242,133.416,134.107
8.530,134.143,134.484,181.178,133.856,133.644,133.850,134.108,133.581,133.983,133.904,133.860,226.242,133.726,134.069
8.535,133.550,133.286,181.111,133.817,133.756,133.548,133.562,133.335,133.468,133.367,133.951,226.242,133.842,133.877
8.540,134.942,134.409,181.248,134.960,134.270,135.150,134.946,134.704,134.995,135.043,135.135,313.285,134.874,134.956
8.545,134.469,135.205,181.351,134.790,135.319,134.998,134.884,135.022,134.871,134.912,134.514,313.285,134.849,134.723
8.550,134.886,134.454,181.190,134.921,135.451,135.057,135.123,135.000,135.074,134.526,134.919,313.285,135.157,135.299
8.555,134.854,134.816,181.177,135.237,135.468,135.296,135.100,134.291,134.759,134.959,135.026,313.285,135.230,134.587
8.560,136.120,136.208,181.173,136.105,135.973,135.940,136.079,136.005,136.538,136.201,136.723,13.501,135.805,136.217
8.565,136.392,135.918,181.179,135.863,136.141,136.004,136.197,136.460,136.031,136.154,136.396,13.501,136.134,136.469
8.570,136.040,136.546,181.181,136.211,136.589,136.440,135.996,135.829,136.692,136.299,136.582,13.501,136.123,135.986
8.575,136.343,136.205,181.213,136.579,135.835,136.121,136.093,136.288,136.175,136.267,136.275,13.501,136.140,136.008
8.580,137.285,137.419,181.202,137.682,137.316,137.199,137.113,137.360,137.270,137.539,137.419,68.763,138.151,137.822
8.585,137.264,137.165,181.148,137.026,137.695,0.000,137.442,137.611,137.294,137.162,137.088,68.763,137.954,137.557
8.590,136.846,137.064,181.206,137.534,137.602,137.764,137.554,137.787,137.671,136.923,137.746,68.763,137.476,137.089
8.595,137.515,137.302,181.233,137.786,137.063,137.500,137.433,137.765,137.386,137.382,137.630,68.763,137.197,136.979
8.600,138.710,139.062,181.247,138.762,138.737,138.510,138.801,138.519,138.905,138.543,138.807,239.162,138.739,138.526
8.605,138.233,138.480,181.153,137.967,138.453,138.637,138.392,138.789,138.777,138.489,139.270,239.162,138.918,138.204
8.610,138.346,138.667,181.240,138.275,138.610,138.158,138.603,137.559,138.754,138.396,138.248,239.162,138.622,138.616
8.615,137.985,138.641,181.201,138.208,138.226,139.101,138.144,138.445,138.749,138.705,138.210,239.162,138.702,138.558
8.620,139.496,139.319,181.150,139.920,139.257,139.617,139.760,139.034,139.218,139.509,139.589,13.163,139.551,139.388
8.625,139.275,139.811,181.225,139.600,139.887,139.691,139.333,139.265,139.975,139.693,139.663,13.163,139.344,139.698
8.630,139.712,139.430,181.244,139.473,139.319,139.854,139.047,139.866,139.889,139.876,139.475,13.163,139.454,139.000
8.635,139.562,139.067,181.165,139.994,139.520,140.155,139.458,139.496,139.543,139.518,139.613,13.163,139.873,140.021
8.640,140.810,140.070,181.245,140.714,140.876,140.358,140.751,140.406,140.275,140.707,140.583,101.838,140.543,140.183
8.645,140.383,140.813,181.221,140.729,140.658,140.106,140.643,140.393,141.228,140.789,140.290,101.838,141.112,140.565
8.650,140.127,141.188,181.219,141.044,140.316,140.667,140.747,140.454,140.807,140.819,140.706,101.838,140.981,140.493
8.655,140.605,140.817,181.136,141.138,140.174,140.415,140.634,140.401,140.591,140.801,140.237,101.838,140.845,140.433
8.660,141.438,141.936,181.157,141.496,141.917,141.891,141.751,141.922,141.874,141.309,141.370,101.727,141.641,141.666
8.665,142.154,141.267,181.190,141.176,142.068,141.729,141.791,141.888,141.773,141.992,141.576,101.727,141.265,141.457
8.670,141.682,140.740,181.174,141.248,142.145,141.722,142.049,141.864,141.780,141.931,141.488,101.727,141.975,141.815
8.675,142.037,142.136,181.205,141.652,141.354,141.543,141.019,141.451,141.803,141.066,141.795,101.727,141.664,141.718
8.680,142.702,142.832,181.263,142.570,142.682,142.341,142.575,142.394,142.837,142.471,142.228,282.392,142.396,142.370
8.685,142.451,142.062,181.147,142.538,142.592,142.229,142.515,142.159,142.876,142.877,142.437,282.392,142.060,142.551
8.690,142.095,142.616,181.237,142.899,142.905,0.000,142.075,142.527,142.983,141.952,142.686,282.392,142.892,142.853
8.695,142.477,142.536,181.188,142.529,142.472,142.985,142.530,142.712,142.095,142.822,142.961,282.392,142.192,142.714
8.700,143.612,143.387,181.139,143.140,143.493,142.497,143.568,143.791,143.753,143.842,142.669,109.986,143.526,143.239
8.705,143.453,143.110,181.243,143.817,143.175,143.317,143.398,143.705,143.620,142.897,143.328,109.986,143.213,143.407
8.710,143.527,143.547,181.223,142.976,143.526,143.204,143.243,144.024,143.553,143.561,143.791,109.986,143.514,143.414
8.715,143.520,143.637,181.298,142.894,143.704,143.800,143.120,143.491,144.016,143.611,143.457,109.986,143.494,143.558
8.720,143.865,143.853,181.135,144.599,144.172,144.402,144.425,144.696,144.162,144.764,143.743,226.350,144.257,144.203
8.725,144.349,144.369,181.163,144.673,143.833,144.137,144.654,144.151,144.485,144.458,144.439,226.350,144.364,144.418
